user_id,item_id,rating,timestamp
0,43,4,137
0,193,1,490
0,355,5,536
0,384,5,709
0,45,3,741
0,44,3,825
0,243,1,927
0,224,4,950
0,339,4,1067
0,385,3,1115
0,191,2,1257
0,72,5,1266
0,296,2,1327
0,285,2,1343
0,124,1,1905
0,371,1,2172
0,75,3,2177
0,302,5,2204
0,285,4,2265
0,331,1,3397
0,95,1,3557
0,45,1,3627
0,398,5,3978
0,371,2,3987
0,111,2,4474
0,106,3,4636
0,203,3,5313
0,399,1,5753
0,248,3,6709
0,305,5,6718
0,204,5,6761
1,46,2,19
1,5,3,73
1,22,1,218
1,17,2,281
1,149,4,542
1,154,4,1412
1,86,4,1812
1,66,2,1993
1,123,2,2132
1,25,4,2386
1,18,3,2472
1,298,3,2527
1,227,1,2584
1,372,5,2853
1,281,1,2907
1,111,2,3203
1,82,1,3486
1,66,3,3671
1,100,4,3690
1,226,2,3697
1,9,4,4217
1,155,1,4709
1,229,3,4794
1,53,3,4829
1,81,4,4955
1,394,4,5274
1,203,5,5338
1,101,2,5723
1,396,1,5939
1,223,2,6187
1,97,5,6794
1,49,2,7155
1,227,1,7585
1,15,4,7823
1,323,3,7958
2,236,2,187
2,101,5,249
2,165,2,745
2,192,4,815
2,209,2,842
2,65,5,969
2,88,1,1077
2,94,3,1650
2,58,2,1700
2,150,1,1719
2,80,3,2042
2,255,3,2329
2,114,4,2522
2,203,4,2554
2,24,3,2922
2,58,4,2943
2,355,5,3002
2,169,3,3065
2,343,4,3293
2,191,5,3685
2,370,3,4004
2,41,3,4190
2,247,1,4354
2,10,5,4569
2,26,2,4651
2,34,2,4984
2,92,5,5198
2,313,1,5380
2,275,1,6076
2,338,4,6145
2,255,3,6800
2,209,4,7082
3,162,2,77
3,295,1,357
3,167,5,538
3,252,5,828
3,130,5,1023
3,192,3,1041
3,213,1,1447
3,140,3,1613
3,259,5,1687
3,3,5,1874
3,364,5,2093
3,96,5,2697
3,374,3,2698
3,326,3,2992
3,92,1,3000
3,105,3,3048
3,335,4,3091
3,214,4,3307
3,271,1,3326
3,7,1,3403
3,252,5,3546
3,72,4,3793
3,182,3,3921
3,385,5,3998
3,132,1,4076
3,313,1,4286
3,368,4,4389
3,276,1,4542
3,1,3,4975
3,95,5,5442
3,244,2,5568
3,84,5,6109
3,240,5,6350
3,323,4,6366
3,245,5,6573
3,31,5,6656
4,373,4,117
4,127,1,138
4,326,5,454
4,64,2,672
4,18,2,788
4,302,3,920
4,13,3,1082
4,62,2,1130
4,36,2,1188
4,380,4,1203
4,248,2,1423
4,66,3,1703
4,292,3,1704
4,43,1,1744
4,345,4,2152
4,233,1,2244
4,323,2,2510
4,342,2,2562
4,65,1,2675
4,368,1,2819
4,296,1,2820
4,308,5,2942
4,365,3,3087
4,264,3,3202
4,53,3,3873
4,273,2,3890
4,102,4,4331
4,366,1,4736
4,10,3,5043
4,333,3,5323
4,123,2,5862
4,259,1,5927
5,225,4,366
5,132,1,457
5,95,1,810
5,101,2,889
5,218,2,1006
5,208,4,1038
5,130,2,1702
5,224,3,1775
5,191,3,1900
5,257,4,2019
5,94,5,2111
5,201,2,2594
5,207,3,3258
5,274,5,3561
5,165,3,3566
5,25,5,3801
5,54,2,4355
5,318,3,4648
5,3,1,4777
5,59,4,4867
5,355,5,5036
5,279,2,5179
5,201,2,5671
5,377,2,5804
5,167,3,5995
5,319,2,6008
5,299,1,6112
5,277,5,6120
5,350,1,6198
5,289,5,6860
6,152,4,275
6,33,4,662
6,338,2,968
6,248,4,1398
6,373,5,1400
6,121,1,1584
6,293,3,1796
6,195,3,1861
6,124,3,2034
6,399,1,2393
6,357,2,2411
6,28,2,2475
6,20,3,2614
6,291,3,2693
6,73,5,2715
6,180,1,3141
6,79,4,3289
6,174,1,3753
6,86,2,4187
6,140,1,4260
6,263,3,4715
6,180,2,4854
6,379,5,5127
6,70,2,5495
6,254,5,6214
6,372,4,6629
6,380,4,6659
6,11,3,6697
6,182,1,7235
6,136,3,7248
7,78,1,65
7,333,4,344
7,310,4,421
7,359,2,450
7,187,2,574
7,353,2,756
7,65,4,902
7,300,2,951
7,360,2,999
7,108,2,1355
7,109,1,1371
7,233,3,1382
7,246,3,1557
7,4,3,1926
7,170,5,2025
7,26,1,2125
7,297,1,2175
7,252,4,2237
7,378,4,2240
7,54,1,2515
7,296,1,2533
7,137,1,2779
7,366,1,2795
7,221,2,2823
7,238,2,3272
7,14,3,3300
